,smiles
0,CNC
1,[CH2]NC
2,COC
3,[CH2]OC
4,CSC
5,[CH2]SC
6,CCc1ccccc1
7,C[CH]c1ccccc1
8,CC(C)C
9,C[C](C)C
10,CC(C)c1ccccc1
11,C[C](C)c1ccccc1
12,C
13,[CH3]
14,CSc1ccccc1
15,[CH2]Sc1ccccc1
16,CCC
17,[CH2]CC
18,CCC
19,C[CH]C
20,C=CC
21,[CH2]C=C
22,CCC=O
23,C[CH]C=O
24,Cc1ccccc1
25,[CH2]c1ccccc1
26,CN(C)C
27,[CH2]N(C)C
28,C=C(C)F
29,[CH2]C(=C)F
30,C=C(C)O
31,[CH2]C(=C)O
32,Cc1ccc([N+](=O)[O-])cc1
33,[CH2]c1ccc([N+](=O)[O-])cc1
34,CN(C)c1ccccc1
35,[CH2]N(C)c1ccccc1
36,CNc1ccccc1
37,[CH2]Nc1ccccc1
38,CCc1ccccc1
39,[CH2]Cc1ccccc1
40,CCF
41,[CH2]CF
42,CCF
43,C[CH]F
44,COc1ccccc1
45,[CH2]Oc1ccccc1
46,Cc1ccc(C)cc1
47,[CH2]c1ccc(C)cc1
48,CC1(C)[C@@H]2[CH]C[C@@]1(C)C(=O)C2
49,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
50,O=C1[CH][C@H]2CC[C@@H]1C2
51,O=C1C[C@H]2CC[C@@H]1C2
52,O=C1C[C@H]2[CH]C[C@@H]1C2
53,O=C1C[C@H]2CC[C@@H]1C2
54,O=C1C[C@H]2C[CH][C@@H]1C2
55,O=C1C[C@H]2CC[C@@H]1C2
56,CC1=C[CH][C@@H]2C[C@H]1C2(C)C
57,CC1=CC[C@@H]2C[C@H]1C2(C)C
58,[CH2]C1=CC[C@@H]2C[C@H]1C2(C)C
59,CC1=CC[C@@H]2C[C@H]1C2(C)C
